timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703696666470,866,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-11,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,866,0,422
1703696666419,924,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-8,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,924,0,473
1703696666436,939,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-5,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,939,0,474
1703696666448,943,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-6,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,943,0,463
1703696666564,859,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-4,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,859,0,422
1703696666589,854,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-1,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,854,0,415
1703696666582,888,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-3,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,888,0,430
1703696666675,867,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-9,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,866,0,412
1703696666646,896,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-10,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,895,0,440
1703696667336,212,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-11,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,212,0,0
1703696667343,208,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-8,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,208,0,0
1703696666653,904,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-7,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,904,0,435
1703696667375,209,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-5,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,209,0,0
1703696666731,865,https://dev-portal.nekmart.co.uk/api/pages/social-media,200,OK,Thread Group 1-13,text,true,,1667,427,20,20,https://dev-portal.nekmart.co.uk/api/pages/social-media,865,0,419
1703696667391,209,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-6,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,209,0,0
